,Unnamed: 0,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
0,2,D Carol Hotel Surabaya,Hotel,Bubutan Surabaya,Jl. Gundih No. 8. Gundih. Kec. Bubutan. Kota Surabaya. Jawa Timur. Indonesia,4.2,195000,224250,-7.247228,112.72946
1,3,Choice City Hotel,Hotel,Bubutan Surabaya,Bubutan. Surabaya City. East Java 60174. Indonesia,4.4,269997,374996,-7.25599,112.733686
2,4,G Suites Hotel By AMITHYA,Hotel,Gubeng Surabaya,Jl. Raya Gubeng No.43. Gubeng. Kec. Gubeng. Kota SBY. Jawa Timur,4.0,343000,2254000,-7.273623,112.747475
3,5,Royal Regantris Cendana formerly Royal Singosari Cendana,Hotel,Tegalsari Surabaya,Jl. Kombes Pol. Moh. Duryat No.6. Tegalsari. Kec. Tegalsari. Kota SBY. Jawa Timur,4.3,389996,1199988,-7.268379,112.739621
4,6,Livinn Taman Melati Surabaya,Hotel,Mulyorejo Surabaya,Jl. Mulyorejo Utara No.201. RT.006/RW.001. Mulyorejo. Kec. Mulyorejo. Mulyorejo. Surabaya. Jawa Timur. Indonesia. 60115,4.1,224999,249999,-7.261569,112.78547
5,7,Hotel Great Diponegoro Surabaya,Hotel,Wonokromo Surabaya,Jalan Diponegoro No.215. Surabaya. Jawa Timur 60241,4.3,324997,619994,-7.279568,112.730086
6,8,Arimbi Stay,Hotel,Gayungan Surabaya,Jl. Cipta Menanggal Utara 66 Surabaya,4.2,299997,524995,-7.341528,112.721507
7,9,Cleo Hotel Basuki Rahmat Surabaya,Hotel,Genteng Surabaya,Jl. Jenderal Basuki Rachmat No.11. Embong Kaliasin. Kec. Genteng. Kota SBY. Jawa Timur,4.0,315000,315000,-7.263531,112.741318
8,10,ASTON Inn Jemursari,Hotel,Wonocolo Surabaya,Jl. Sidosermo II No. 70. Surabaya,4.5,381429,750000,-7.311514,112.749716
9,11,Varna Culture Hotel Tunjungan Surabaya,Hotel,Genteng Surabaya,Jalan Tunjungan No.51,4.2,285032,1888000,-7.259055,112.739016
10,12,Djuragan Kamar Gunung Anyar,Hotel,Gunung Anyar Surabaya,Jl. Gunung Anyar Lor II No.80. Gn. Anyar. Kec. Gn. Anyar. Kota SBY. Jawa Timur 60294,4.3,200000,200001,-7.33453,112.783668
11,13,Bekizaar Hotel Surabaya,Hotel,Genteng Surabaya,Jl. Basuki Rahmat No.15. Embong Kaliasin. Kec. Genteng. Kota SBY. Jawa Timur,4.1,261277,439040,-7.2636262,112.7412572
12,14,Halogen Hotel Airport Surabaya,Hotel,Juanda Surabaya,Raya By Pass Juanda Street No. 18 Sidoarjo 61253.surabaya,4.2,339999,469999,-7.371729,112.760575
13,15,Quds Royal Hotel Surabaya,Hotel,Semampir Surabaya,Jl. Sultan Iskandar Muda No.85. Ampel. Kec. Semampir. Kota SBY. Jawa Timur 60151. Indonesia,4.1,397946,585194,-7.225502,112.741244
14,16,Life Hotel Stasiun Kota Surabaya,Hotel,Genteng Surabaya,Jl. Pecindilan No.66. Kapasari. Kec. Genteng. Kota SBY. Jawa Timur 60161. Indonesia,3.8,120152,339997,-7.244324,112.747742
15,17,Best Hotel Surabaya,Hotel,Tegalsari Surabaya,Jl. Kedungsari No.29. Wonorejo. Kec. Tegalsari. Kota SBY. Jawa Timur 60263. Indonesia,4.1,245000,285000,-7.26845,112.734914
16,18,Bisanta Bidakara Surabaya,Hotel,Tegalsari Surabaya,Jl. Tegalsari No.77-85. Tegalsari. Kec. Tegalsari. Kota SBY. Jawa Timur,4.0,309997,549994,-7.267219,112.736801
17,19,Kampi Hotel Tunjungan - Surabaya,Hotel,Genteng Surabaya,Jl. Taman Apsari No.3-5. Embong Kaliasin. Genteng. Kota SBY. Jawa Timur 60271,4.5,506998,1249998,-7.264382,112.743185
18,20,Hersya Front One Inn Surabaya,Hotel,Gayungan Surabaya,Jl. Ketintang Baru III No.58. Ketintang. Kec. Gayungan. Kota SBY. Jawa Timur,4.0,324968,509995,-7.317783,112.729921
19,21,The Win Hotel Surabaya,Hotel,Genteng Surabaya,Jl. Embong Tj. No.46-48. Embong Kaliasin. Kec. Genteng. Kota SBY. Jawa Timur 60271,3.7,281774,375100,-7.267701,112.747622
20,22,Tab Hotel Darmo Permai Surabaya,Hotel,Dukuh Pakis Surabaya,Jl. Raya Darmo Permai Selatan No.712 - 713. Pradahkalikendal. Kec. Dukuhpakis. Kota SBY. Jawa Timur,3.8,235697,450000,-7.2792799,112.6833863
21,23,Hotel Oval Surabaya,Hotel,Wonokromo Surabaya,Jl. Diponegoro No.23. Darmo. Kec. Wonokromo. Kota SBY. Jawa Timur,3.9,225000,455182,-7.293936,112.737212
